Date,Open,High,Low,Close,Adj Close,Volume
2022-01-03,174.000000,174.000000,171.000000,172.000000,172.000000,666700
2022-01-04,172.000000,191.000000,171.000000,181.000000,181.000000,19231600
2022-01-05,182.000000,182.000000,169.000000,169.000000,169.000000,4586700
2022-01-06,170.000000,175.000000,165.000000,172.000000,172.000000,1388800
2022-01-07,172.000000,175.000000,169.000000,170.000000,170.000000,1316900
2022-01-10,170.000000,171.000000,167.000000,168.000000,168.000000,855200
2022-01-11,168.000000,171.000000,166.000000,168.000000,168.000000,678100
2022-01-12,168.000000,170.000000,161.000000,162.000000,162.000000,1988800
2022-01-13,163.000000,168.000000,160.000000,165.000000,165.000000,1017800
2022-01-14,165.000000,166.000000,162.000000,163.000000,163.000000,207900
2022-01-17,163.000000,165.000000,160.000000,162.000000,162.000000,312500
2022-01-18,162.000000,169.000000,160.000000,161.000000,161.000000,474900
2022-01-19,161.000000,163.000000,159.000000,159.000000,159.000000,391200
2022-01-20,159.000000,165.000000,159.000000,161.000000,161.000000,461800
2022-01-21,161.000000,188.000000,156.000000,160.000000,160.000000,36962300
2022-01-24,162.000000,162.000000,155.000000,157.000000,157.000000,2099500
2022-01-25,157.000000,160.000000,155.000000,157.000000,157.000000,1459800
2022-01-26,157.000000,162.000000,156.000000,157.000000,157.000000,1127600
2022-01-27,157.000000,161.000000,157.000000,157.000000,157.000000,1096800
2022-01-28,159.000000,160.000000,156.000000,157.000000,157.000000,568200
2022-01-31,157.000000,169.000000,152.000000,169.000000,169.000000,7794800
2022-02-02,170.000000,178.000000,158.000000,158.000000,158.000000,17815600
2022-02-03,160.000000,160.000000,156.000000,157.000000,157.000000,1014300
2022-02-04,157.000000,159.000000,156.000000,158.000000,158.000000,807500
2022-02-07,159.000000,160.000000,157.000000,159.000000,159.000000,752500
2022-02-08,160.000000,162.000000,159.000000,160.000000,160.000000,1206000
2022-02-09,160.000000,161.000000,157.000000,158.000000,158.000000,831600
2022-02-10,160.000000,160.000000,156.000000,158.000000,158.000000,681500
2022-02-11,158.000000,162.000000,158.000000,160.000000,160.000000,898000
2022-02-14,160.000000,160.000000,155.000000,158.000000,158.000000,858600
2022-02-15,158.000000,158.000000,155.000000,157.000000,157.000000,380900
2022-02-16,157.000000,159.000000,155.000000,158.000000,158.000000,642800
2022-02-17,158.000000,158.000000,155.000000,156.000000,156.000000,372000
