Date,Open,High,Low,Close,Adj Close,Volume
2022-01-03,85.000000,86.000000,85.000000,85.000000,85.000000,22065500
2022-01-04,85.000000,87.000000,85.000000,85.000000,85.000000,16945600
2022-01-05,85.000000,86.000000,84.000000,85.000000,85.000000,15349900
2022-01-06,85.000000,85.000000,82.000000,82.000000,82.000000,50785400
2022-01-07,82.000000,85.000000,82.000000,83.000000,83.000000,21221900
2022-01-10,83.000000,84.000000,81.000000,82.000000,82.000000,22049100
2022-01-11,82.000000,83.000000,77.000000,78.000000,78.000000,64962000
2022-01-12,78.000000,79.000000,73.000000,74.000000,74.000000,76536500
2022-01-13,74.000000,75.000000,71.000000,73.000000,73.000000,50137100
2022-01-14,70.000000,75.000000,70.000000,73.000000,73.000000,19577300
2022-01-17,76.000000,76.000000,71.000000,73.000000,73.000000,14950300
2022-01-18,73.000000,74.000000,69.000000,70.000000,70.000000,31203200
2022-01-19,70.000000,75.000000,70.000000,72.000000,72.000000,60049800
2022-01-20,73.000000,73.000000,71.000000,71.000000,71.000000,9909400
2022-01-21,72.000000,72.000000,70.000000,71.000000,71.000000,9270300
2022-01-24,72.000000,72.000000,69.000000,70.000000,70.000000,21123900
2022-01-25,70.000000,71.000000,68.000000,69.000000,69.000000,21872200
2022-01-26,69.000000,69.000000,65.000000,65.000000,65.000000,63562200
2022-01-27,66.000000,68.000000,64.000000,65.000000,65.000000,38957800
2022-01-28,65.000000,67.000000,65.000000,66.000000,66.000000,25136400
2022-01-31,66.000000,70.000000,66.000000,68.000000,68.000000,71479600
2022-02-02,68.000000,72.000000,68.000000,70.000000,70.000000,55322700
2022-02-03,70.000000,72.000000,68.000000,70.000000,70.000000,51140400
2022-02-04,70.000000,71.000000,69.000000,70.000000,70.000000,19756900
2022-02-07,70.000000,72.000000,70.000000,72.000000,72.000000,30207800
2022-02-08,72.000000,73.000000,71.000000,72.000000,72.000000,23761000
2022-02-09,73.000000,77.000000,72.000000,74.000000,74.000000,57812200
2022-02-10,75.000000,79.000000,74.000000,76.000000,76.000000,101821600
2022-02-11,76.000000,77.000000,74.000000,74.000000,74.000000,25330300
2022-02-14,74.000000,75.000000,70.000000,71.000000,71.000000,29510400
2022-02-15,71.000000,72.000000,70.000000,72.000000,72.000000,15500900
2022-02-16,72.000000,74.000000,71.000000,74.000000,74.000000,18650900
2022-02-17,73.000000,75.000000,72.000000,73.000000,73.000000,10731000
2022-02-18,73.000000,76.000000,72.000000,75.000000,75.000000,30698500
2022-02-21,75.000000,75.000000,73.000000,73.000000,73.000000,20568200
